test,expected,result
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_BLOCK_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_BLOCK_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_1_23_SCOPE_DEVICE_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_BLOCK_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_12_3_SCOPE_DEVICE_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_NO_FENCE_ACQUIRE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_BLOCK_NO_FENCE_RELAXED.als,?,INSTANCE
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE.als,?,INSTANCE
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE.als,?,INSTANCE
